canonical_smiles,r_i_docking_score,n_measurements
CC(=O)N1CC[NH+](Cc2nc3cc(NC(=O)COc4ccccc4Cl)ccc3n2C)CC1,-4.25223,1
CC(=O)N1CC[NH+](Cc2nc3cc(NC(=O)c4cccs4)ccc3n2C)CC1,-4.47769,1
CC(=O)N1CCc2cc(CNC(=O)CC3CCCC3)ccc21,-4.21541,1
CC(=O)N1CCc2cc(CNC(=O)CCc3ccccc3)ccc21,-2.42731,1
CC(=O)N1CCc2cc(CNC(=O)Nc3cc(F)ccc3F)ccc21,-3.44072,1
CC(=O)N1CCc2cc(CNC(=O)Nc3ccc(Br)cc3F)ccc21,-4.12273,1
CC(=O)N1CCc2cc(CNC(=O)Nc3ccc(F)cc3F)ccc21,-5.0287,1
CC(=O)N1CCc2cc(CNC(=O)Nc3ccccc3Cl)ccc21,-6.13721,1
CC(=O)N1CCc2cc(CNS(=O)(=O)c3ccc4c(c3)CCCC4)ccc21,-5.0844,1
CC(=O)N1CCc2cc(CNS(=O)(=O)c3ccccc3C(F)(F)F)ccc21,-2.98811,1
CC(=O)N1N=C(c2cccc(Br)c2)O[C@H]1c1ccc(Oc2ccc([N+](=O)[O-])cn2)cc1,-3.32263,1
CC(=O)N1c2ccc(S(=O)(=O)N3CCCC3)cc2C[C@H]1C(=O)NCCN1CCOCC1,-1.79768,1
CC(=O)N1c2ccc(S(=O)(=O)N3CCOCC3)cc2C[C@@H]1C(=O)NCc1ccccc1C,-2.27067,1
CC(=O)NC(=O)/C=C/c1cccc(-c2[nH+]cc(Cc3ccccc3)n2CCc2ccccc2)c1,-10.24,1
CC(=O)NC(=O)/C=C/c1cccc(-c2[nH]c(Cc3ccccc3)c[nH+]2)c1,-10.46,1
CC(=O)NC(=O)/C=C/c1cccc(-c2c(C)[nH+]c(Cc3ccccc3)n2C)c1,-10.68,1
CC(=O)NC(=O)/C=C/c1cccc(-c2c(C)nc(Cc3ccccc3)n2[C@H]2CCC[NH2+]C2)c1,-9.066,1
CC(=O)NC(=O)/C=C/c1cccc(-c2c[nH+]c(-c3ccccc3)n2CCc2ccccc2)c1,-8.201,1
